Position,Player,WS
 PF,Maxi Kleber,3.633333333333333
 PF,Robert Covington,3.4
 PF,Ersan Ilyasova,3.4
 PF,JaMychal Green,3.3
 PF,Carmelo Anthony,3.22
 PF,Al-Farouq Aminu,3.2000000000000006
 PF,Jaren Jackson Jr.,3.2
 PF,Nemanja Bjelica,3.0799999999999996
 PF,Lauri Markkanen,2.8666666666666667
 PF,James Johnson,2.8199999999999994
 PF,Kyle Kuzma,2.766666666666667
 PF,Ryan Anderson,2.7399999999999998
 PF,Jeff Green,2.54
 PF,Patrick Patterson,2.42
 PF,John Henson,2.38
 PF,Anthony Tolliver,2.38
 PF,Jabari Parker,2.28
 PF,Bobby Portis,2.18
 PF,Mike Muscala,2.18
 PF,Jonathan Isaac,2.1666666666666665
 PF,Markieff Morris,2.1399999999999997
 PF,Eric Paschall,2.1
 PF,Kevon Looney,2.06
 PF,Khem Birch,2.033333333333333
 PF,Marvin Bagley III,2.0
 PF,Michael Porter Jr.,2.0
 PF,Mike Scott,1.8599999999999999
 PF,Daniel Gafford,1.8
 PF,Noah Vonleh,1.7600000000000002
 PF,Rui Hachimura,1.7
 PF,Jordan Bell,1.6333333333333335
 PF,Christian Wood,1.625
 PF,Cheick Diallo,1.575
 PF,Grant Williams,1.5
 PF,Taurean Prince,1.325
 PF,Chris Boucher,1.3
 PF,Zach Collins,1.2
 PF,Semi Ojeleye,1.2
 PF,Omari Spellman,1.2
 PF,Chris Silva,1.1
 PF,Gary Clark,0.95
 PF,D.J. Wilson,0.7000000000000001
 PF,Jonah Bolden,0.7
 PF,Nicolas Claxton,0.5
 PF,Jalen McDaniels,0.5
 PF,Wenyen Gabriel,0.2
 PF,Amile Jefferson,0.2
 PF,Alen Smailagic,0.2
 PF,Mfiondu Kabengele,0.2
 PF,Udonis Haslem,0.08000000000000003
 PF,Jarred Vanderbilt,0.05
 PF,Alize Johnson,0.05
 PF,Chimezie Metu,-0.04999999999999999
 PF,Caleb Swanigan,-0.06666666666666667
 PG,Damian Lillard,10.780000000000001
 PG,Stephen Curry,9.919999999999998
 PG,Russell Westbrook,9.66
 PG,Chris Paul,9.64
 PG,Kyle Lowry,9.08
 PG,Ben Simmons,8.133333333333333
 PG,Kemba Walker,7.88
 PG,Kyrie Irving,6.9799999999999995
 PG,Eric Bledsoe,5.38
 PG,Mike Conley,5.2
 PG,Ricky Rubio,5.0
 PG,Jeff Teague,4.72
 PG,George Hill,4.640000000000001
 PG,Trae Young,4.6
 PG,John Wall,4.6
 PG,Isaiah Thomas,4.42
 PG,Malcolm Brogdon,4.2
 PG,Jamal Murray,4.0249999999999995
 PG,Patty Mills,4.0200000000000005
 PG,Spencer Dinwiddie,3.7
 PG,Patrick Beverley,3.6599999999999993
 PG,D.J. Augustin,3.4800000000000004
 PG,Marcus Smart,3.4799999999999995
 PG,Ja Morant,3.4
 PG,Reggie Jackson,3.34
 PG,Monte Morris,3.266666666666667
 PG,Cory Joseph,3.1399999999999997
 PG,T.J. McConnell,3.06
 PG,Goran Dragic,3.0
 PG,Delon Wright,2.96
 PG,De'Aaron Fox,2.8333333333333335
 PG,Rajon Rondo,2.66
 PG,Terry Rozier,2.5799999999999996
 PG,Zach LaVine,2.54
 PG,Elfrid Payton,2.52
 PG,Derrick White,2.5
 PG,Jalen Brunson,2.45
 PG,Ish Smith,2.44
 PG,Jordan Clarkson,2.32
 PG,Tyus Jones,2.2800000000000002
 PG,Lonzo Ball,2.066666666666667
 PG,Austin Rivers,2.04
 PG,Devonte' Graham,1.95
 PG,Dejounte Murray,1.9333333333333336
 PG,Avery Bradley,1.92
 PG,Brad Wanamaker,1.85
 PG,J.J. Barea,1.8199999999999996
 PG,Ryan Arcidiacono,1.8
 PG,Yogi Ferrell,1.775
 PG,Derrick Rose,1.7399999999999998
 PG,Trey Burke,1.56
 PG,Shabazz Napier,1.56
 PG,Tim Frazier,1.38
 PG,Aaron Holiday,1.3
 PG,Matthew Dellavedova,1.24
 PG,Shaquille Harrison,1.2333333333333334
 PG,Markelle Fultz,1.0666666666666667
 PG,Raul Neto,1.06
 PG,Michael Carter-Williams,1.0
 PG,Quinn Cook,1.0
 PG,Kris Dunn,0.975
 PG,Collin Sexton,0.95
 PG,Coby White,0.9
 PG,Dante Exum,0.825
 PG,Jevon Carter,0.55
 PG,Brandon Knight,0.475
 PG,Chris Clemons,0.2
 PG,Frank Jackson,0.15000000000000002
 PG,Edmond Sumner,0.13333333333333333
 PG,Gary Payton II,0.125
 PG,Carsen Edwards,0.1
 PG,Brandon Goodwin,0.05
 PG,Jalen Lecque,0.0
 PG,Justin Robinson,0.0
 PG,Emmanuel Mudiay,0.0
 PG,Nigel Williams-Goss,0.0
 PG,Ky Bowman,-0.1
 PG,Frank Ntilikina,-0.2666666666666667
 PG,Dennis Smith Jr.,-0.5333333333333333
 PG,Darius Garland,-1.3
 SF,Kevin Durant,12.1
 SF,LeBron James,11.440000000000001
 SF,Jimmy Butler,9.639999999999999
 SF,Kawhi Leonard,9.059999999999999
 SF,DeMar DeRozan,8.2
 SF,Tobias Harris,6.56
 SF,Gordon Hayward,5.840000000000001
 SF,Khris Middleton,5.62
 SF,Jae Crowder,4.84
 SF,Brandon Clarke,4.4
 SF,Trevor Ariza,4.36
 SF,Bojan Bogdanovic,4.3
 SF,Harrison Barnes,4.220000000000001
 SF,Will Barton,3.9
 SF,Mikal Bridges,3.5
 SF,Davis Bertans,3.5
 SF,Kyle Anderson,3.46
 SF,T.J. Warren,3.4199999999999995
 SF,OG Anunoby,3.3666666666666667
 SF,Maurice Harkless,3.2800000000000002
